nodes_egonet,edges_egonet,net_id,density_egonet,transitivity_egonet,ass_gender_egonet,ass_edu_egonet,ass_age_egonet,ass_race_egonet,size_egonet
4,6,346,0.5,1,-0.33333333333333337,0.49999999999999467,-0.29241938088709996,-0.15384615384615388,4
6,5,348,0.16666666666666669,0,NA,NA,NA,0,6
6,14,372,0.4666666666666667,0.9230769230769231,-0.1395348837209304,-0.13400504203456226,-0.12074443878285247,0.007874015748031421,6
6,6,379,0.2,0.25,0,0.4889012070387018,-0.4472135954999578,-0.09090909090909091,6
6,13,383,0.4333333333333333,0.8666666666666667,-0.18181818181818177,-0.0400000000000016,-0.18675157455305716,0,6
6,13,386,0.4333333333333333,0.8666666666666667,NA,-0.18544954675472888,-0.07055762180784864,-0.07216494845360823,6
6,7,395,0.23333333333333334,0.4,0,-0.1315587028960551,-0.2499999999999997,-0.0425531914893617,6
6,7,399,0.23333333333333334,0.42857142857142855,0,NA,NA,0.22222222222222224,6
6,11,403,0.36666666666666664,0.8823529411764706,-0.3050847457627117,-0.22110831935702677,0.013621585179701103,0,6
6,10,424,0.33333333333333337,1,0,-0.22086305214969215,-0.2211549410943577,0.07692307692307689,5
6,13,425,0.4333333333333333,0.8666666666666667,-0.11428571428571377,-0.34874291623145437,0.3603183178894029,-0.015625000000000007,6
4,5,428,0.4166666666666667,0.75,-0.6666666666666667,NA,0.40624999999999956,0,4
6,11,429,0.36666666666666664,0.75,-0.13793103448275917,-0.13165611772087715,0.20902449592478364,-0.05479452054794512,6
6,13,430,0.4333333333333333,0.8666666666666667,-0.13043478260869573,0.30671917946594907,-0.20496091362600713,-0.06557377049180331,6
6,15,431,0.5,1,-0.19469026548672558,NA,-0.2726777061512945,0,6
6,10,446,0.33333333333333337,0.6923076923076923,NA,NA,-0.4034575417272875,-0.060606060606060753,6
6,14,448,0.4666666666666667,0.9230769230769231,-0.12903225806451632,-0.1964390117045061,0.0795418616851825,0,6
6,13,454,0.4333333333333333,0.8666666666666667,-0.18181818181818177,-0.14085904245475328,-0.008702736853060217,0,6
6,11,461,0.36666666666666664,0.8823529411764706,0.21428571428571427,NA,-0.43937477516374684,0,6
6,14,466,0.4666666666666667,0.9230769230769231,-0.12903225806451632,-0.2535803069718783,0.3514025490990088,0,6
6,14,470,0.4666666666666667,0.9230769230769231,-0.12903225806451632,0.14142135623731006,-0.1414213562373096,0.0819672131147541,6
6,10,490,0.33333333333333337,0.5769230769230769,NA,0.21821789023600224,NA,0,6
4,6,491,0.5,1,-0.28571428571428586,-0.1313064328597257,-0.004311306135591319,0,4
6,8,493,0.26666666666666666,0.631578947368421,-0.3333333333333333,0.17407765595569785,-0.5153385008824813,0,6
6,15,499,0.5,1,-0.20000000000000004,-0.04999999999999999,-0.1096897151138359,-0.16766467065868262,6
6,13,502,0.4333333333333333,0.8666666666666667,-0.13043478260869593,0.045168304916050686,-0.23229413956826062,0,6
6,13,514,0.4333333333333333,0.8666666666666667,-0.11428571428571377,-0.20419248401584555,-0.09434734901318922,-0.13492063492063494,6
6,5,516,0.16666666666666669,0.375,0,0.24999999999999584,0.24999999999999964,0.047619047619047596,5
6,14,522,0.4666666666666667,0.9230769230769231,-0.14545454545454561,-0.12926201485675443,0.015149219989015967,0,6
6,7,523,0.23333333333333334,0.42857142857142855,-0.16666666666666635,NA,NA,0,6
4,3,524,0.25,0,0,NA,NA,0,4
6,14,532,0.4666666666666667,0.9230769230769231,-0.11999999999999966,-0.10874544956540373,-0.04182030780252414,-0.19736842105263158,6
