id,Q246,Q246_6_TEXT,Team_id,remove_team,self_leader,self_leader_2,self_leader_3,squestion,alter_id,Q13,Q14,Q15,Q16,Q17,Q82,Q83,Q84,Q85,Q86,Q89,Q90,Q91,Q92,Q93
758,5,NA,2_1_9,0,TRUE,TRUE,TRUE,4,vero2_1_9,NA,NA,NA,NA,NA,5,4,NA,NA,FALSE,4,5,4,NA,FALSE
568,4,NA,2_2_9,0,TRUE,TRUE,TRUE,1,280,7,7,7,NA,FALSE,7,7,7,NA,FALSE,7,7,7,NA,FALSE
568,4,NA,2_2_9,0,TRUE,TRUE,TRUE,2,624,7,7,7,NA,FALSE,7,7,7,NA,FALSE,7,7,7,NA,FALSE
568,4,NA,2_2_9,0,TRUE,TRUE,TRUE,4,vero2_2_9,NA,NA,NA,NA,NA,2,NA,2,7,FALSE,NA,NA,NA,6,FALSE
624,2,NA,2_2_9,0,TRUE,TRUE,FALSE,1,280,7,7,6,1,TRUE,7,7,7,1,TRUE,7,7,7,NA,TRUE
624,2,NA,2_2_9,0,TRUE,TRUE,FALSE,2,568,7,7,6,NA,TRUE,7,7,7,1,TRUE,7,7,7,NA,TRUE
624,2,NA,2_2_9,0,TRUE,TRUE,FALSE,4,vero2_2_9,NA,NA,NA,NA,NA,1,NA,NA,6,FALSE,NA,NA,NA,6,FALSE
280,5,NA,2_2_9,0,TRUE,TRUE,TRUE,1,568,6,6,6,1,TRUE,6,6,6,1,TRUE,6,7,6,NA,TRUE
280,5,NA,2_2_9,0,TRUE,TRUE,TRUE,2,624,5,5,5,2,FALSE,5,5,5,2,FALSE,5,6,5,2,FALSE
280,5,NA,2_2_9,0,TRUE,TRUE,TRUE,4,vero2_2_9,NA,NA,NA,NA,NA,2,2,2,5,FALSE,2,2,2,6,FALSE
647,4,NA,3_3_9,0,TRUE,TRUE,TRUE,1,956 (160),7,7,6,1,FALSE,7,7,7,NA,FALSE,7,7,6,NA,FALSE
647,4,NA,3_3_9,0,TRUE,TRUE,TRUE,2,117,7,7,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
647,4,NA,3_3_9,0,TRUE,TRUE,TRUE,4,vero3_3_9,NA,NA,NA,NA,NA,7,6,7,2,TRUE,7,7,7,2,FALSE
117,4,NA,3_3_9,0,TRUE,TRUE,TRUE,1,647,5,5,6,1,TRUE,5,5,6,NA,TRUE,5,6,6,NA,TRUE
117,4,NA,3_3_9,0,TRUE,TRUE,TRUE,2,956 (160),3,5,3,5,FALSE,2,2,2,4,FALSE,2,3,2,4,FALSE
117,4,NA,3_3_9,0,TRUE,TRUE,TRUE,4,vero3_3_9,NA,NA,NA,NA,NA,4,4,5,2,TRUE,4,2,4,3,TRUE
956 (160),4,NA,3_3_9,0,FALSE,FALSE,FALSE,1,117,7,7,7,1,TRUE,6,7,7,1,FALSE,7,7,7,1,FALSE
956 (160),4,NA,3_3_9,0,FALSE,FALSE,FALSE,2,647,7,7,7,1,FALSE,6,7,7,1,FALSE,7,7,7,1,FALSE
956 (160),4,NA,3_3_9,0,FALSE,FALSE,FALSE,4,vero3_3_9,NA,NA,NA,NA,NA,7,7,7,1,TRUE,7,7,7,1,TRUE
582,2,NA,3_4_9,0,TRUE,NA,TRUE,1,502,6,5,4,NA,FALSE,6,7,6,NA,NA,6,6,7,NA,TRUE
582,2,NA,3_4_9,0,TRUE,NA,TRUE,2,372,5,6,6,1,TRUE,6,7,6,1,NA,6,7,7,1,TRUE
582,2,NA,3_4_9,0,TRUE,NA,TRUE,4,vero3_4_9,NA,NA,NA,NA,NA,3,NA,2,6,NA,2,3,3,6,FALSE
372,2,NA,3_4_9,0,TRUE,TRUE,TRUE,1,582,6,7,7,1,TRUE,7,7,7,2,TRUE,7,7,7,1,TRUE
372,2,NA,3_4_9,0,TRUE,TRUE,TRUE,2,502,5,7,6,1,TRUE,7,7,7,2,TRUE,7,7,7,1,TRUE
372,2,NA,3_4_9,0,TRUE,TRUE,TRUE,4,vero3_4_9,NA,NA,NA,NA,NA,2,2,2,2,FALSE,1,1,1,5,FALSE
502,5,NA,3_4_9,0,FALSE,FALSE,FALSE,1,372,6,7,7,1,TRUE,7,7,7,1,TRUE,7,7,NA,1,TRUE
502,5,NA,3_4_9,0,FALSE,FALSE,FALSE,2,582,6,7,7,NA,FALSE,7,7,7,NA,FALSE,7,7,NA,NA,FALSE
502,5,NA,3_4_9,0,FALSE,FALSE,FALSE,4,vero3_4_9,NA,NA,NA,NA,NA,3,2,2,3,FALSE,2,4,NA,2,FALSE
786,5,NA,1_5_9,0,TRUE,TRUE,TRUE,1,954,7,6,7,NA,TRUE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
786,5,NA,1_5_9,0,TRUE,TRUE,TRUE,4,vero1_5_9,NA,NA,NA,NA,NA,5,6,5,NA,FALSE,6,5,6,NA,FALSE
954,2,NA,1_5_9,0,TRUE,TRUE,TRUE,1,786,7,7,7,1,FALSE,7,7,7,NA,TRUE,7,7,7,NA,TRUE
954,2,NA,1_5_9,0,TRUE,TRUE,TRUE,4,vero1_5_9,NA,NA,NA,NA,NA,2,5,2,4,FALSE,2,3,2,3,FALSE
