PID,Condition,uniteam,fluency_ind_1,fluency_ind_2,fluency_ind_3,flex_ind_1,flex_ind_2,flex_ind_3,novel_ind_1,novel_ind_2,novel_ind_3,fluency_team_1,fluency_team_2,fluency_team_3,flex_team_1,flex_team_2,flex_team_3,novel_team_1,novel_team_2,novel_team_3,ind1,ind2,ind3,team1,team2,team3
194,4,93,15,20,6,15,16,5,0.980586031,0.983277784,0.972196761,20,38,23,17,25,18,0.984690245,0.987531461,0.986374965,56,56,58,42,34,50
753,4,93,6,6,5,6,6,5,0.984626846,0.973719496,0.959120073,20,38,23,17,25,18,0.984690245,0.987531461,0.986374965,56,50,70,42,34,50
289,4,92,7,6,3,7,6,3,0.976026006,0.973183159,0.964558509,18,31,30,15,21,19,0.983691823,0.986560627,0.985166313,74,68,58,50,60,42
526,4,92,10,14,11,8,10,10,0.97387241,0.985863694,0.973877177,18,31,30,15,21,19,0.983691823,0.986560627,0.985166313,46,78,70,50,60,42
572,4,92,9,11,6,6,7,5,0.986875254,0.982630001,0.969294226,18,31,30,15,21,19,0.983691823,0.986560627,0.985166313,60,64,54,50,60,42
108,4,91,14,13,7,10,11,7,0.978641812,0.982185956,0.971331093,22,35,25,13,22,18,0.985157901,0.986784923,0.984037116,40,70,80,58,26,34
179,4,91,9,11,11,7,8,8,0.98356585,0.982569053,0.985678277,22,35,25,13,22,18,0.985157901,0.986784923,0.984037116,64,64,56,58,26,34
326,4,91,7,5,5,6,3,5,0.97660649,0.965245374,0.96822487,22,35,25,13,22,18,0.985157901,0.986784923,0.984037116,63,92,96,58,26,34
187,4,90,16,18,14,12,13,12,0.981858164,0.984423885,0.982309808,22,29,28,19,21,19,0.985317555,0.986473612,0.984197756,44,64,56,50,42,60
450,4,90,5,6,5,5,5,4,0.981443858,0.976726813,0.977910174,22,29,28,19,21,19,0.985317555,0.986473612,0.984197756,48,80,82,50,42,60
941,4,90,12,11,9,10,7,8,0.978565624,0.975426022,0.982793101,22,29,28,19,21,19,0.985317555,0.986473612,0.984197756,62,40,58,50,42,60
174,4,89,5,3,5,5,3,5,0.978545307,0.96875838,0.96700275,23,42,38,19,29,20,0.986631854,0.9884752,0.987283495,48,82,58,36,52,54
622,4,89,18,21,17,17,17,14,0.97987655,0.985250738,0.982610245,23,42,38,19,29,20,0.986631854,0.9884752,0.987283495,46,78,70,36,52,54
989,4,89,15,22,19,13,18,14,0.984062486,0.98215004,0.98215061,23,42,38,19,29,20,0.986631854,0.9884752,0.987283495,46,74,60,36,52,54
135,4,88,10,11,9,10,9,6,0.980617635,0.970416149,0.974539159,16,26,25,13,17,15,0.984847072,0.98392976,0.984468398,56,62,60,16,12,24
150,4,88,3,2,2,3,2,2,0.9561154,0.949517297,0.95944088,16,26,25,13,17,15,0.984847072,0.98392976,0.984468398,52,56,82,16,12,24
169,4,88,10,10,5,7,10,4,0.973181634,0.975422365,0.989367553,16,26,25,13,17,15,0.984847072,0.98392976,0.984468398,2,0,2,16,12,24
631,4,87,11,11,12,9,8,10,0.979018138,0.98449499,0.979529484,13,26,28,11,19,16,0.984764583,0.987169844,0.985486806,40,74,78,32,64,66
842,4,87,5,5,2,5,4,2,0.979032913,0.970313757,0.932630614,13,26,28,11,19,16,0.984764583,0.987169844,0.985486806,62,80,82,32,64,66
145,4,86,7,5,5,6,4,4,0.988013003,0.961316707,0.953884051,7,4,5,6,4,4,0.989076571,0.976118842,0.978343949,46,82,92,44,32,36
102,4,85,11,12,8,10,11,7,0.984596062,0.977205685,0.965780629,14,27,18,11,24,12,0.985479832,0.986572507,0.983886468,46,69,64,44,74,52
110,4,85,6,9,3,5,9,3,0.979953948,0.992839904,0.973648029,14,27,18,11,24,12,0.985479832,0.986572507,0.983886468,46,83,45,44,74,52
848,4,84,10,8,9,8,8,8,0.976838684,0.971797622,0.963294725,18,24,16,13,19,13,0.984375648,0.988936944,0.986010852,54,78,70,38,48,50
998,4,84,10,12,NA,8,11,NA,0.983340106,0.988736927,NA,18,24,16,13,19,13,0.984375648,0.988936944,0.986010852,42,50,58,38,48,50
690,4,83,4,6,5,4,5,5,0.987505079,0.986658622,0.969477544,14,22,18,12,15,12,0.982975436,0.986273035,0.983628214,52,70,86,66,48,80
